Judul Berita,Link Berita,Link Gambar
VIDEO: RS Salak Bogor Kebakaran,https://www.cnnindonesia.com/nasional/20230407140459-24-934849/video-rs-salak-bogor-kebakaran,https://akcdn.detik.net.id/visual/2023/04/07/thumbnail-video-2_169.jpeg?w=280&q=90
"RS Salak Bogor Kebakaran, Pasien Dievakuasi",https://www.cnnindonesia.com/nasional/20230407135002-20-934841/rs-salak-bogor-kebakaran-pasien-dievakuasi,https://akcdn.detik.net.id/visual/2023/04/07/kebakaran_169.jpeg?w=280&q=90
"Ruko KFC Sunter Kebakaran, 1 Karyawan Jadi Korban Luka",https://www.cnnindonesia.com/nasional/20230403154823-20-932961/ruko-kfc-sunter-kebakaran-1-karyawan-jadi-korban-luka,https://akcdn.detik.net.id/visual/2019/10/22/0435c711-50f0-44f3-8720-eba761ac1e91_169.jpeg?w=280&q=90
5 Orang Dilarikan ke RS usai Kilang Pertamina di Dumai Riau Meledak,https://www.cnnindonesia.com/ekonomi/20230402061533-85-932398/5-orang-dilarikan-ke-rs-usai-kilang-pertamina-di-dumai-riau-meledak,https://akcdn.detik.net.id/visual/2019/10/22/0435c711-50f0-44f3-8720-eba761ac1e91_169.jpeg?w=280&q=90
Kebakaran usai Ledakan Kilang Pertamina di Dumai Riau Sudah Padam,https://www.cnnindonesia.com/ekonomi/20230402030903-85-932363/kebakaran-usai-ledakan-kilang-pertamina-di-dumai-riau-sudah-padam,https://akcdn.detik.net.id/visual/2019/10/22/7b13c072-c974-43bc-8520-556c8635ae0f_169.jpeg?w=280&q=90
"Kebakaran Rumah di Cengkareng Jakbar, 12 Damkar Dikerahkan",https://www.cnnindonesia.com/nasional/20230402020422-20-932358/kebakaran-rumah-di-cengkareng-jakbar-12-damkar-dikerahkan,https://akcdn.detik.net.id/visual/2020/01/01/70666114-61c6-4935-a290-b5f30fea1405_169.jpeg?w=280&q=90
"Kebakaran Kapal Feri di Filipina, 31 Orang Tewas",https://www.cnnindonesia.com/internasional/20230330141818-106-931348/kebakaran-kapal-feri-di-filipina-31-orang-tewas,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Aksi Bakar Tikar Picu Kebakaran di Fasilitas Migrasi Meksiko, 39 Tewas",https://www.cnnindonesia.com/internasional/20230329003446-134-930576/aksi-bakar-tikar-picu-kebakaran-di-fasilitas-migrasi-meksiko-39-tewas,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran_169.jpeg?w=280&q=90
"Penampungan Hewan Ternak di Jaktim Kebakaran, 132 Kambing Hangus",https://www.cnnindonesia.com/nasional/20230327091647-20-929679/penampungan-hewan-ternak-di-jaktim-kebakaran-132-kambing-hangus,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
25 Kios Kena Dampak Kebakaran di Pasar Kemiri Depok,https://www.cnnindonesia.com/nasional/20230326235147-20-929601/25-kios-kena-dampak-kebakaran-di-pasar-kemiri-depok,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Kebakaran Kapal Tanker di Mataram: 14 ABK Dievakuasi, 3 Masih Dicari",https://www.cnnindonesia.com/nasional/20230326184818-20-929559/kebakaran-kapal-tanker-di-mataram-14-abk-dievakuasi-3-masih-dicari,https://akcdn.detik.net.id/visual/2023/03/26/kapal-tanker-terbakar-di-ampenan-3_169.jpeg?w=280&q=90
